"pertanyaan","jawaban","kategori"
"ada bonus","maaf ka! kami hanya menyediakakn promo kalo kakanya mau kami kasi promo 15%","jawaban"
"apa yagn bisa dilakukan ai sepertimu","cuma balas chet aja si kayanya aku juga gak pernah eksplor","jawaban"
"apliaksi apa","shopy tiktok tergantung kaknya pakai yang mana","jawaban"
"assalamualaikum","waalaikumsalam ka ada apa","jawaban"
"bagusan yang mana","semua bagus ka tergantung selera kakanya kakanya mau yang mana?","nego"
"barang ada","alhamdulilah ada ka","jawaban"
"barang ka","ada alhamdulilah","jawaban"
"barangnya ada","alhamdulilah ada ka tapi stoknya cuma sekitar 100an",""
"berapa ka totalnya","total ada di aplikasi ya ka","jawaban"
"bisa cod","bisa banget ka","jawaban"
"bisa kirim hari ini","bisa banget kami selalu kirim di jam 3 sore setiap hari waktu setempat","jawaban"
"bisa nego","langsung aja kami kasi promo 15% ya ka kalo kakanya mau","nego"
"free ongkir","tergantung aplikasi ka karna ongkir sudah diatur oleh kebijakan ","jawaban"
"gak jadi","kenapa ka kita kasih harga spesial kalo kakanya co sekarang","nego"
"gimana cara pesan","bisa langsung lewat aplikasi ka atau lewat link berikut","jawaban"
"haha","eheheeejadi kakanya ada masala apa","jawaban"
"hai","halo","jawaban"
"hai ini hari apa","entahlah","jawaban"
"halo","iya ka","jawaban"
"ini bisa dikirim hari ini","bisa banget ka kita kirim setiap hari di jam 3 sore","closing"
"ini gimana pesannya ya","gampang ka bila langsung lewat link ini 1111111 atau lewat aplikasi langsung","jawaban"
"kamu manusia","bukan saya ai karna kerjanya berat gajinya kecil","jawaban"
"kenapa harganya bruba ya","itu mungkin promo kakanya udah gak ada atau waktu promonya habis","jawaban"
"kira kira sampainya lama atau tidak","tergantung ekspedisi yang kakanya ambil","nego"
"makasih","sama sama ka","jawaban"
"menarik","iya ka khusus buat kakanya yang menarik perhatian hehe","jawaban"
"oke","iya ka","jawaban"
"ongkir berapa ka","tergantung aplikasi ka","jawaban"
"ooh okey deh","iya ka","jawaban"
"original","ori dong ka 100% bisa cek lewat QR","jawaban"
"p","iya ka","jawaban"
"promo ada","promo 10%beda dengan promo aplikasi bisa ditumpuk juga kode ptomonya 123456","promo"
"readi","readi dong","jawaban"
"selamat siang","siang ka ada masalah apa","jawaban"
"tenks","sama samaa ka","jawaban"
"trimakasi","sama sama ka","jawaban"
"trimakasih","sama sama ka","jawaban"
"turunin dong harganya","kita kasi diskon mak 10% kadiluar promo aplikasi","nego"
"turunin lagi","eem gimana ya ka sulit sih ka ini udah termurah yang kita bisa kasih","nego"
